Name,Rating,Winery,Area,Province,Country,Varietal,Vintage,Style,Wine Type,ID
IV,93.43378932,Layor Wines,Nova Scotia,,Canada,Vidal,2013,Dessert,White,55663e3e942360030000000e
Layor Gold,90.62767296842105,Layor Wines,Nova Scotia,,Canada,Vidal,2013,Dessert,White,55663e00942360030000000d
The Evangelist - Late Harvest Viognier,89.9719733,Ascension Cellars,Central Coast,CA,USA,Viognier,2012,Dessert,White,5564efe1b4f0c10300000058
Soul Shaker,89.50631553333335,Ascension Cellars,Central Coast,CA,USA,"Cabernet Sauvignon, Petit Verdot, Syrah, Merlot",2012,,Red,5564efe1b4f0c1030000009c
"Dalliance ""GSMv""",89.42197329999999,Ascension Cellars,Central Coast,CA,USA,"Grenache, Syrah, Mourvedre, Viognier",2011,,Red,5564efe1b4f0c1030000009b
Estate Show Pony Paso Robles Red Cedar Vineyard,88.99779876363635,Clayhouse Wines,San Luis Obispo,CA,USA,Petite Sirah,2012,,Red,5564efe1b4f0c10300000004
"Ascendance ""Melange""",88.93964886666667,Ascension Cellars,Central Coast,CA,USA,"Cabernet Sauvignon, Merlot",2011,,Red,5564efe1b4f0c10300000036
Halo Viognier,88.83257864,Ascension Cellars,Central Coast,CA,USA,Viognier,2014,,White,5564efe1b4f0c10300000035
Duca Bortini Vaporello 2014,88.1829361263158,Duca Bortini,Trentino,Trentino,Italy,"Lambrusco, Merlot",2014,,Red,5e673b734d42ee2d694c0703
Chateau Cailleteau Bergeron OZ de Cailleteau 2015,88.1219733,Chateau Cailleteau Bergeron,Blaye Cotes de Bordeaux,,France,Bordeaux Red Blend,2015,,Red,5e4c9868c2f8c4663fc3d28a
Ten Sisters Sauvignon Blanc 2019,88.08911164999999,Ten Sisters,Marlborough,,New Zealand,Sauvignon Blanc,2019,,White,5ebd93b69f8ac679bd570efa
Mayhem,87.55257864000001,Ascension Cellars,Central Coast,CA,USA,"Syrah, Petit Syrah, Grenache",2011,,Red,5564efe1b4f0c10300000014
Duca Bortini Terre Siciliane Sangiovese 2018,87.47757864,Duca Bortini,Sicily,Sicily,Italy,Sangiovese,2018,,Red,5e67389b4d42ee2d694c0702
Perpetua,87.43225519999999,Mission Hill Family Estate,Okanagan Valley,,Canada,Chardonnay,2015,,White,5e94def85fd8fd7ae861dc0f
"Trinity ""GSM""",87.36796948571428,Ascension Cellars,Central Coast,CA,USA,"Grenache, Syrah, Mourvedre",2012,,Red,5564efe1b4f0c10300000057
Ethereal,87.3459644,Ascension Cellars,Central Coast,CA,USA,"Cabernet Sauvignon, Petite Verdot, Petite Sirah, Malbec",2011,,Red,5564efe1b4f0c1030000007a
Gossamer Wings,87.3459644,Ascension Cellars,Central Coast,CA,USA,"Marsanne, Roussanne, Muscat",2013,,White,5564efe1b4f0c10300000079
Robert Mondavi Private Selection Cabernet Sauvignon 2017,87.34377184444445,Robert Mondavi,"Acampo, California",,USA,Cabernet Sauvignon,2017,,Red,5e94ded55fd8fd7ae861d8e1
White Oak,87.33548219999999,White Oak Vineyards,Napa Valley,,USA,Cabernet Sauvignon,2012,,Red,555397245840130300000031
Tenutae Lageder 'Porer' Pinot Grigio,87.0738993818182,Alois Lageder,Alto Adige,,Italy,Pinot Gris,2015,,White,5e94df455fd8fd7ae861e3cd
Weinkellerei Am Klostergarten Wollsteiner Rheingrafenstein Spatlese Kerner 2016,87.06953182222222,Weinkellerei Am Klostergarten,Rheinhessen,,Germany,Kerner,2016,,White,5e6813d04d42ee2d694c0720
Attems Cicinis,86.9986548,Attems,Friuli-Venezia Giulia,,Italy,"Sauvignon Blanc, Pinot Bianco, Friulano",2015,,White,5e94def75fd8fd7ae861dbf7
Dirty Laundry 'Kay’s' Syrah 2017 VQA,86.9871834162162,Dirty Laundry Vineyard,Okanagan Valley,British Columbia,Canada,Syrah,2017,,Red,5e94ded65fd8fd7ae861d8e7
Pierre Laforest Fleurs de LaForest Colombard 2018,86.84044510769232,Pierre Laforest,,Comte Tolosan,France,French Colombard,2018,,White,5e680e546608c649531ba3e3
Beringer Main & Vine Merlot 2017,86.65503145600002,Beringer Vineyards,California,,USA,Merlot,2017,,Red,5e94dee35fd8fd7ae861da47
Girard Cabernet Sauvignon 2016,86.64522255384615,Girard Winery,Napa Valley,,USA,Cabernet Sauvignon,2016,,Red,5e94dee05fd8fd7ae861da01
Late Harvest Sauvignon Blanc,86.63763106666666,Overland,Sonoma County,CA,USA,Sauvignon Blanc,2013,Dessert,White,5564efe1b4f0c10300000073
Antinori Tormaresca Calafuria Rosato,86.62096439999999,Antinori,Apulia,,Italy,Negroamaro,2015,,Rose,5e94df2b5fd8fd7ae861e12f
Monster Vineyards The Brute Frizzante,86.54690776666668,Monster Vineyards,Okanagan Valley,,Canada,,nv,Sparkling,White,5e94def55fd8fd7ae861dbcd
Silver Blanc,86.43257864,Ascension Cellars,Central Coast,CA,USA,"Viognier, Chardonnay",2013,,White,5564efe1b4f0c10300000013
Vinoscenti Merlot 2011,85.953031456,Vinoscenti Vineyards,Surrey,British Columbia,Canada,Merlot,2011,,Red,594eccf67e21975539ffcf28
Tauri,85.9344733,Cantine Antonio Caggiano,Taurasi,,Italy,Aglianico,2016,,Red,5e94deef5fd8fd7ae861db39
Siren,85.85757864,Ascension Cellars,Paso Robles,,USA,Blend,2014,,Rose,556a0cde72f2c90300000028
Soave Classico,85.66082662857143,Pieropan,"Soave Classico DOC, Veneto",,Italy,Garganega,nv,,White,5e94e599647e147bcfa8d8c1
Caymus Cabernet Sauvignon Special Selection 2004,85.56263106666667,Caymus,Napa Valley,California,USA,Cabernet Sauvignon,2004,,Red,5ad77d38128caabb7db026bf
White Oak Vineyards,85.55757864,White Oak Vineyards,Russian River Valley,,USA,Sauvignon Blanc,2013,,White,56394cbb50e1b10300000078
Primi Passi Moscato Frizzante NV,85.54536164999999,Primi Passi,Veneto,Veneto,Italy,Moscato Bianco,nv,Sparkling,White,5e67576b4d42ee2d694c0707
Gran Selezione Chianti Classico DOCG,85.48225519999998,Casa Sola,Tuscany,,Italy,100% Sangiovese,2010,,Red,5e94deef5fd8fd7ae861db3b
Siren,85.4282233,Ascension Cellars,Paso Robles,,USA,Grenache,2014,,Rose,556a0c9a72f2c90300000027
Pierre Laforest Chardonnay T 2015,85.42508737777777,Pierre Laforest,Roussillon,Roussillon,France,Chardonnay,2015,,White,5e6744bd6608c649531ba39e
Buried Cane,85.40483793846154,Buried Cane,Columbia Valley,,USA,Cabernet Sauvignon,2013,,Red,54d5082e7d1514030000002c
Taurasi Feudi di San Gregorio,85.35429773333333,Feudi di San Gregorio,Campania,,Italy,Aglianico,2010,,Red,5e94deef5fd8fd7ae861db3d
Grassini Family Vineyards Equipo Sauvignon Blanc,85.32822329999999,Grassini Family Vineyards,Santa Barbara,California,USA,Sauvignon Blanc,2013,,White,53c0598f2e0a2b020000001e
Mission Hill Five Vineyards Sauvignon Blanc 2015,85.18757863999998,Mark Anthony Cellars - VQA,Okanagan Valley,British Columbia,Canada,Sauvignon Blanc,2015,,White,5e94df7b5fd8fd7ae861e935
Remole,85.13257863999999,Frescobaldi Toscana,Toscana,,Italy,"Sangiovese, Cabernet Sauvignon",2015,,White,5e94def25fd8fd7ae861db7d
